rid,time,lon,lat,depth,mag,FI,APF,skew,band_skew,kurt,band_kurt,evt_type
60676058,2006-08-17T10:26:19.360000Z,-166.01816666666667,54.14683333333333,4230.0,0.4,0.08793035342742557,6.135458167330677,0.6073615471290339,1.2142206811424938,3.4859152441948518,5.796908481328819,VT
60676063,2006-08-17T10:29:17.820000Z,-166.02183333333332,54.14833333333333,3890.0,0.0,0.05082617572735598,6.095617529880478,1.4780069619705531,0.7364268571027537,7.946730408863484,3.4262973398816308,VT
60676858,2006-08-20T03:48:57.540000Z,-165.9575,54.148833333333336,3300.0,0.5,0.09742570954836374,6.812749003984064,0.6121897364789477,0.12316055261786422,3.265163469933186,2.1019434133167323,VT
60677098,2006-08-21T17:16:59.250000Z,-165.9085,54.151833333333336,9570.0,1.4,-0.5121906227151347,4.0239043824701195,2.295304916150574,1.3276852249513296,8.591934958781575,4.248750353739766,LP
60660593,2006-09-01T12:37:29.820000Z,-165.96266666666668,54.1435,2860.0,0.0,0.18025215127406527,8.764940239043824,0.47666946368941676,0.5660839787577461,2.4553220765445234,2.7738472662831164,VT
60661108,2006-09-04T00:05:37.120000Z,-165.97783333333334,54.1145,28970.0,1.7,-0.6767896770990561,2.6294820717131473,2.6147463146648655,1.4297622571146267,9.750576585604959,4.087123546008821,DLP
60663708,2006-09-13T21:12:13.830000Z,-166.0165,54.17766666666667,7670.0,1.2,-0.22980396057584554,3.426294820717131,0.8952585620788843,0.19748734823942293,2.8880900214632224,2.431135609198724,LP
60663713,2006-09-13T21:15:18.100000Z,-166.00216666666665,54.17333333333333,5930.0,0.3,-0.09876759194979312,5.458167330677291,0.7372737699752205,0.4559843309742687,3.244703695165558,3.2011889259593893,Uncertain
60663718,2006-09-13T21:44:17.460000Z,-166.0275,54.17933333333333,7520.0,1.1,0.018075387975898864,5.059760956175299,0.7268881190270206,0.17477083835251114,2.543979920671321,2.6440430898439504,VT
60663723,2006-09-13T21:54:43.250000Z,-166.01166666666666,54.172666666666665,5380.0,0.5,0.014447225450356784,4.2629482071713145,0.4830833931551382,0.4196543302543497,2.223951388947105,2.4470649140831173,VT
60664438,2006-09-17T22:51:11.780000Z,-166.01083333333332,54.171,5330.0,-0.3,-0.3433850393509419,3.8645418326693233,1.5678303192689895,0.8402648024132741,5.246921087945627,3.154919473344939,Uncertain
60664443,2006-09-17T22:51:19.130000Z,-166.00283333333334,54.168166666666664,5400.0,0.4,0.0005219364978968693,5.099601593625498,0.8868681387531204,0.6935777743289973,3.1021124471411827,3.2835916197886847,VT
60664453,2006-09-17T22:51:47.270000Z,-165.99883333333332,54.1685,5430.0,0.8,0.0059300873138572055,5.577689243027889,0.9759563497665354,0.38195852737084346,3.14119586247314,2.801083782875318,VT
60666363,2006-09-24T16:08:41.680000Z,-165.957,54.090333333333334,14900.0,1.3,-1.0083367107171157,1.832669322709163,2.3275643993149444,1.1239795779415747,7.687632697252228,3.059211789141232,DLP
60653638,2006-10-01T18:21:00.250000Z,-165.976,54.144,2080.0,0.7,0.1512294927602031,8.167330677290838,0.6671326398454291,0.1772317208617623,2.3312173343538745,2.2053161553389655,VT
60658318,2006-10-26T05:46:51.630000Z,-165.97266666666667,54.10916666666667,16420.0,1.1,-0.7941489231304284,2.9880478087649402,1.986906181967234,0.8601044074960895,5.772209594137828,2.3515829203300576,DLP
